Year,Regeneration,Capacity
0,No.Regeneration,100
0,Regeneration.1,NA
0,Regeneration.2,NA
0.25,No.Regeneration,99
0.25,Regeneration.1,NA
0.25,Regeneration.2,NA
0.5,No.Regeneration,99
0.5,Regeneration.1,NA
0.5,Regeneration.2,NA
0.75,No.Regeneration,98
0.75,Regeneration.1,NA
0.75,Regeneration.2,NA
1,No.Regeneration,97.5
1,Regeneration.1,NA
1,Regeneration.2,NA
1.25,No.Regeneration,96.5
1.25,Regeneration.1,NA
1.25,Regeneration.2,NA
1.5,No.Regeneration,96
1.5,Regeneration.1,NA
1.5,Regeneration.2,NA
1.75,No.Regeneration,95.5
1.75,Regeneration.1,NA
1.75,Regeneration.2,NA
2,No.Regeneration,95
2,Regeneration.1,NA
2,Regeneration.2,NA
2.25,No.Regeneration,94
2.25,Regeneration.1,NA
2.25,Regeneration.2,NA
2.5,No.Regeneration,93.5
2.5,Regeneration.1,NA
2.5,Regeneration.2,NA
2.75,No.Regeneration,93
2.75,Regeneration.1,NA
2.75,Regeneration.2,NA
3,No.Regeneration,92.5
3,Regeneration.1,NA
3,Regeneration.2,NA
3.25,No.Regeneration,92
3.25,Regeneration.1,NA
3.25,Regeneration.2,NA
3.5,No.Regeneration,91
3.5,Regeneration.1,NA
3.5,Regeneration.2,NA
3.75,No.Regeneration,90.5
3.75,Regeneration.1,NA
3.75,Regeneration.2,NA
4,No.Regeneration,90
4,Regeneration.1,NA
4,Regeneration.2,NA
4.25,No.Regeneration,89
4.25,Regeneration.1,NA
4.25,Regeneration.2,NA
4.5,No.Regeneration,88
4.5,Regeneration.1,NA
4.5,Regeneration.2,NA
4.75,No.Regeneration,87
4.75,Regeneration.1,NA
4.75,Regeneration.2,NA
5,No.Regeneration,85
5,Regeneration.1,NA
5,Regeneration.2,NA
5.25,No.Regeneration,84
5.25,Regeneration.1,NA
5.25,Regeneration.2,NA
5.5,No.Regeneration,83
5.5,Regeneration.1,NA
5.5,Regeneration.2,NA
5.75,No.Regeneration,82
5.75,Regeneration.1,NA
5.75,Regeneration.2,NA
6,No.Regeneration,80
6,Regeneration.1,NA
6,Regeneration.2,NA
6.25,No.Regeneration,79
6.25,Regeneration.1,NA
6.25,Regeneration.2,NA
6.5,No.Regeneration,78
6.5,Regeneration.1,NA
6.5,Regeneration.2,NA
6.75,No.Regeneration,77
6.75,Regeneration.1,NA
6.75,Regeneration.2,NA
7,No.Regeneration,75
7,Regeneration.1,92.5
7,Regeneration.2,NA
7.25,No.Regeneration,74
7.25,Regeneration.1,91.375
7.25,Regeneration.2,NA
7.5,No.Regeneration,73
7.5,Regeneration.1,90.25
7.5,Regeneration.2,NA
7.75,No.Regeneration,72
7.75,Regeneration.1,89.125
7.75,Regeneration.2,NA
8,No.Regeneration,70
8,Regeneration.1,88
8,Regeneration.2,NA
8.25,No.Regeneration,69
8.25,Regeneration.1,86.875
8.25,Regeneration.2,NA
8.5,No.Regeneration,68
8.5,Regeneration.1,85.75
8.5,Regeneration.2,NA
8.75,No.Regeneration,67
8.75,Regeneration.1,84.625
8.75,Regeneration.2,NA
9,No.Regeneration,65
9,Regeneration.1,83.5
9,Regeneration.2,NA
9.25,No.Regeneration,64
9.25,Regeneration.1,82.375
9.25,Regeneration.2,NA
9.5,No.Regeneration,63
9.5,Regeneration.1,81.25
9.5,Regeneration.2,NA
9.75,No.Regeneration,62
9.75,Regeneration.1,80.125
9.75,Regeneration.2,NA
10,No.Regeneration,60
10,Regeneration.1,79
10,Regeneration.2,90
10.25,No.Regeneration,57.5
10.25,Regeneration.1,76.5625
10.25,Regeneration.2,88.75
10.5,No.Regeneration,55
10.5,Regeneration.1,74.125
10.5,Regeneration.2,87.5
10.75,No.Regeneration,52.5
10.75,Regeneration.1,71.6875
10.75,Regeneration.2,86.25
11,No.Regeneration,50
11,Regeneration.1,69.25
11,Regeneration.2,85
11.25,No.Regeneration,47.5
11.25,Regeneration.1,66.8125
11.25,Regeneration.2,83.75
11.5,No.Regeneration,45
11.5,Regeneration.1,64.375
11.5,Regeneration.2,82.5
11.75,No.Regeneration,42.5
11.75,Regeneration.1,61.9375
11.75,Regeneration.2,81.25
12,No.Regeneration,40
12,Regeneration.1,59.5
12,Regeneration.2,80
12.25,No.Regeneration,37.5
12.25,Regeneration.1,57.0625
12.25,Regeneration.2,78.75
12.5,No.Regeneration,35
12.5,Regeneration.1,54.625
12.5,Regeneration.2,77.5
12.75,No.Regeneration,32.5
12.75,Regeneration.1,52.1875
12.75,Regeneration.2,76.25
13,No.Regeneration,30
13,Regeneration.1,49.75
13,Regeneration.2,75
13.25,No.Regeneration,27.5
13.25,Regeneration.1,47.3125
13.25,Regeneration.2,72.5
13.5,No.Regeneration,25
13.5,Regeneration.1,44.875
13.5,Regeneration.2,70
13.75,No.Regeneration,22.5
13.75,Regeneration.1,42.4375
13.75,Regeneration.2,65
14,No.Regeneration,20
14,Regeneration.1,40
14,Regeneration.2,60
