Years.Initial,Years.Prolonged,Life.Total,No.Reg.TOC,No.Reg.OC.Yearly,Regeneration.Costs,"Regener. 
costs [€]",Regener. cost yearly,Ownership costs total,Ownership costs yearly...10,"Diff 
[€/year]","Diff 
[%/year]",Savings.Lifetime
5,1,6,186,37.2,5,10,10,196,32.666666666666664,4.5333333333333385,0.12186379928315427,27.20000000000003
6,1,7,186,31,5,10,10,196,28,3,0.09677419354838712,21
7,1,8,186,26.571428571428573,5,10,10,196,24.5,2.071428571428573,0.07795698924731187,16.571428571428584
8,1,9,186,23.25,5,10,10,196,21.77777777777778,1.4722222222222214,0.06332138590203107,13.249999999999993
9,1,10,186,20.666666666666668,5,10,10,196,19.6,1.0666666666666664,0.05161290322580647,10.666666666666664
10,1,11,186,18.6,5,10,10,196,17.818181818181817,0.7818181818181849,0.04203323558162286,8.600000000000033
5,2,7,186,37.2,5,10,5,196,28,9.200000000000003,0.24731182795698925,64.40000000000002
6,2,8,186,31,5,10,5,196,24.5,6.5,0.20967741935483875,52
7,2,9,186,26.571428571428573,5,10,5,196,21.77777777777778,4.793650793650794,0.18040621266427714,43.14285714285715
8,2,10,186,23.25,5,10,5,196,19.6,3.6499999999999986,0.15698924731182795,36.499999999999986
9,2,11,186,20.666666666666668,5,10,5,196,17.818181818181817,2.8484848484848513,0.1378299120234605,31.333333333333364
10,2,12,186,18.6,5,10,5,196,16.333333333333332,2.2666666666666693,0.12186379928315427,27.20000000000003
5,3,8,186,37.2,5,10,3.3333333333333335,196,24.5,12.700000000000003,0.3413978494623656,101.60000000000002
6,3,9,186,31,5,10,3.3333333333333335,196,21.77777777777778,9.222222222222221,0.2974910394265232,83
7,3,10,186,26.571428571428573,5,10,3.3333333333333335,196,19.6,6.9714285714285715,0.26236559139784943,69.71428571428572
8,3,11,186,23.25,5,10,3.3333333333333335,196,17.818181818181817,5.431818181818183,0.23362658846529816,59.750000000000014
9,3,12,186,20.666666666666668,5,10,3.3333333333333335,196,16.333333333333332,4.333333333333336,0.20967741935483886,52.00000000000003
10,3,13,186,18.6,5,10,3.3333333333333335,196,15.076923076923077,3.5230769230769248,0.1894127377998347,45.800000000000026
5,4,9,186,37.2,5,10,2.5,196,21.77777777777778,15.422222222222224,0.4145758661887694,138.8
6,4,10,186,31,5,10,2.5,196,19.6,11.399999999999999,0.3677419354838709,113.99999999999999
